tweet,label,categories,translated_Zulu
there should be a side trip into dc to charlie palmers during cpac,0,None,kufanele kube nohambo lwaseceleni oluya e-dc oluya ku-charlie palmers ngesikhathi se-cpac
there will be no Palestine in 50 years,1,Religion,ngeke ibe khona iPalestine eminyakeni engama-50
sunday...ð #weekend #relax #icon #woman #sundaymorning #sunday   #marilynmonroe,0,None,sunday...ðŸ&#39;• #weekend #relax #icon #woman #sundaymorning #sunday #marilynmonroe
"This country is a lot worse now, there are too many uneducated benefit claimants in the lower classes who should be kicked out",1,Class,"Leli zwe libi kakhulu manje, baningi kakhulu abafake izicelo zemihlomulo abangafundile kwabaphansi okufanele baxoshwe."
why jon hates birds,0,None,kungani uJon ezonda izinyoni
we are so selfish. #orlando #standwithorlando #pulseshooting #orlandoshooting #biggerproblems #selfish #heabreaking   #values #love #,0,None,siyazicabangela thina. #orlando #standwithorlando #pulseshooting #orlandoshooting #biggerproblems #selfish #heabreaking #values #love #
fuck you niggah you gay lol,1,Sexual Orientation,bhebha wena gay lol
offseason outlook new yorkyankees,0,None,i-offseason Outlook entsha yorkyankees
can kids say much when their parents pay for everything rt michele if he paying every bill i cant complain abo,0,None,izingane zingakwazi ukusho okuningi uma abazali bazo bekhokhela yonke into rt michele uma ekhokha zonke izikweletu angikwazi ukukhononda abo
log off nigger rt  relationshipgoals,0,None,vala izinhloso zobudlelwano ze-nigger rt
do you work today niglet,1,Gender,uyasebenza namhlanje niglet
i agree  no naturalized citizenship no anchor baby amnesty all go to parents country of origin,0,None,ngiyavuma abukho ubuzwe obusemthethweni abukho ushwele wengane yonke iya kubazali ezweni lendabuko
jose soto reflections of a former gay teabagger,0,None,u-jose soto reflections of a former gay teabagger
ovo  amp kendrick lamar still trash,0,None,ovo amp kendrick lamar namanje udoti
funniest yt comment i ever received was niggers gonna nig shrugs  lmao racist muthafucka caught me off guard,1,Race,ukuphawula okuhlekisa kakhulu engake ngakuthola kwakuwukuthi ama-niggers azoqhuma amahlombe lmao u- Muthafucka ocwasa ngokwebala wangibamba ngingalindele
tell the hating niggah stfu,1,Race,tshela inzondo niggah stfu
peace my friendonly peacei am not your enemydont say that word againlook at my facebook wallone of my best friends ever was a moor,0,None,thula thula angisona isitha sakho ungaphinde ulisho lelo gama ubuke ufacebook wami wallone of my best friends ever was a moor
you can mock michelle obamas turnipforwhat video but the turnip is now third in line of succession for president,0,None,ungaklolodela uMichelle obamas turnipngamavidiyo angakanani kodwa manje itheniphu isingeyesithathu ngokulandelana kumongameli
yo bitch ass needs to boss the fuck up,1,Gender,imbongolo yonondindwa idinga ukubamba iqhaza
another season of retweeting every one of  s yankee tweets,0,None,enye isizini yokuthumela kabusha wonke ama-tweets e-yankee
me  given the rickety slant of that roof id say more like pizza shanty,0,None,uma nginikezwe ukutsheka okuguquguqukayo kwaleyo-id yophahla isho okufana ne-pizza shanty
none of us went to these prestigious establishments so were clearly not as superior as these fucking retards,1,Race,akekho noyedwa wethu owaya kulezi zikhungo ezihlonishwayo ngakho-ke kusobala ukuthi aziphakeme njengalezi zilwane ezifuywayo.
where would me life be without god and seriously id probably be living in a trash can haha,0,None,ngabe ngikuphi impilo ngaphandle kukankulunkulu futhi seriously id cishe ngihlala emgqomeni kadoti haha
askim would you rather drink squirrel pee or johnny depps wig in charlie and the chocolate factory,0,None,Askim ungamane uphuze i-squirrel pee noma iwigi ka-johnny depps ku-charlie kanye nemboni kashokoledi
i love white noise and love delillo ive resisted reading house of leaves for years it mocks me on my shelf,0,None,ngithanda umsindo omhlophe futhi ngithanda i-delillo ive ukumelana ukufunda indlu yamahlamvu iminyaka ingihlekisa eshalofini lami
jeffhank   studd shut up nigger,1,Race,jeffhank studd shut up nigger
my managers a stupid cunt yes i said it,1,Gender,abaphathi bami ingquza eyisiphukuphuku yebo ngishilo
omgggggggggg mila kunis is so fing hot f sarah marshall shes like a bird anorexic,0,None,i-omgggggggggg mila kunis iyashisa kakhulu f u-sarah marshall ufana nenyoni ene-anorexia
fuck that hoe thats exactly what dese hoes doin gettin fucked nd yall niggas the one to blame,1,Gender,Fuck lelo geja yilokho kanye ama-dese hoes doin doin adukiwe futhi yall niggas okufanele asolwe
finally reached 200 followers on #twitch. follower hypu #stream tomorrow! â¤,0,None,ekugcineni ifinyelele abalandeli abangu-200 ku-#twitch. mlandeli hypu #stream kusasa! â ¤
renae okay cool then im not the only one  mine is black and fuzzy and it has pink on the back in all sparkles  hallelujah,0,None,renae okay phola ke akumina ngedwa eyami emnyama futhi efuzzy futhi inopink ngemuva kuzo zonke ezicwebezelayo haleluya
the rams really dont wanna be trash jeff fisher really bout it,0,None,izinqama azifuni ngempela ukuba udoti u-jeff fisher ubhekene nakho
If she's going to go to work why bother having children?,1,Gender,Uma ezoya emsebenzini uzihluphelani ngokuba nezingane?
sick and watching the yankees game,0,None,ngiyagula futhi ngibuka umdlalo we-yankees
youre a faggotyoure a texas fan,1,Sexual Orientation,ungumlandeli we-texas
iwanttopunchpeoplewho mock god,0,None,iwanttopunchpeoplewk unkulunkulu
how about a charles in charge movie with shia lebouf as charlie and ryan gosling as buddy whynot,0,None,uthini ngefilimu ka-charles ophethe no-shia lebouf njengo-charlie no-ryan gosling njengo-buddy whynot
dumpster rt  gahbage rt sirhampton chicks that smoke are trash no in between no debate,0,None,dumpster rt gahbage rt sirhampton amatshwele ukuthi udoti akukho phakathi akukho mpikiswano
hood niggas and bitches love emojis lmfao,1,Race,ama-hood niggas nama-bitches athanda i-emojis lmfao
back to the day job for shane lowry!,0,None,buyela emsebenzini wosuku we-shane lowry!
searches my yellow pages app for the nearest jack in the box,0,None,isesha uhlelo lokusebenza lwamakhasi ami aphuzi ukuthola ujeke oseduze ebhokisini
I can't differentiate between a mailbox and a BOM,1,Physical Appearance,Angikwazi ukuhlukanisa phakathi kwebhokisi leposi ne-BOM
its okay chiquito  im not in the ghetto anymore,0,None,kulungile chiquito angisekho eghetto
"I say I like jungle bunnies, but I don't",1,Behavior,"Ngithi ngithanda onogwaja basehlathini, kodwa angithandi"
whats up faggots bet yall thought youd seen the last of me,1,Sexual Orientation,whats up fagots ukubhejwa yall thought you&#39;d seen the last of me
black people need to die,1,Race,abantu abamnyama badinga ukufa
huh lol mad nigger is mad,1,Race,Hhawu lol uyahlanya uNigger
Abbies are not pleasant to look at...ughh,1,Physical Appearance,Ama-Abbies awajabulisi ukuwabuka...ughh
lmaoooooo  supreme being trash guess bape is trash to huh,0,None,lmaoooooo supreme being doti qagela i-bape ingudoti kuye huh
I encourage the murder of gays,1,Sexual Orientation,Ngikhuthaza ukubulawa kwezitabane
youre a little bitch,1,Gender,uyinja encane
women are sex objects and they are in the world just to be enjoyed by men,1,Gender,abesifazane bayizinto zocansi futhi basezweni ukuze nje bajatshulelwe amadoda
dont you mean crowd not crows,0,None,awusho isixuku hhayi amagwababa
i dont give a flying fuck what a teabagger piece of human garbage like you thinks,1,Gender,I don&#39;t give a flying fuck flying what a teabagger piece of human doti njengoba ucabanga
of welfaregovernment aid is claimed by white people so yall black slander is trash now,0,None,of welfaregovernment aid ifunwa ngabelungu so yall black ukunyundela udoti manje
pussy ass nigga,1,Race,pussy ass nigga
i hopes dis aint cause he colored cause i knows he be actin all nigga like,1,Race,I hope dis aint cause he colored cause ngiyazi u actin all nigga like
heavner what i really want is some brownies from hampr iced latte my boy and a blanket w movies that sounds prettttttty amazi,0,None,I-heavner engikufunayo ngempela ama-brownies avela ku-hampr iced latte umfana wami kanye nama-movie e-blanket w azwakala e-pretttttty amazi
charlie crist and rick scott are both scumbags however interesting that crist has yet to run one just one positive political ad,0,None,u-charlie crist no-rick scott bobabili bangama-scumbags nokho kuyathakazelisa ukuthi u-crist usazosebenzisa isikhangiso esisodwa sepolitiki esihle.
traded in my nikes for a new mic i guess its safe to say he sold soles for his new life  bada,0,None,ngihwebe ngama-nike ami ukuze ngithole imakrofoni entsha ngicabanga ukuthi kuphephile ukusho ukuthi uthengise ama-soles nge-bada yempilo yakhe entsha
dear god forgive us for a moral slope of values shacking is just a pretty word for perpetual fornication lets,0,None,sthandwa unkulunkulu asithethelele for a moral slope of values shacking is just a beautiful word for perpetual ubufebe lets
Spazzies aren't welcome around here,1,Disability,Ama-spazzies awamukelekile lapha
jason oh am i lame but yo pussy ass didnt show up the fuck u talking bout oh scary ass white boy,1,Race,Jason oh ngikhubazekile kodwa izimbongolo zakho azizange zivele ukhuluma nje oh mfana omhlophe owesabekayo
water is wet rt  nike dc is trash,1,Gender,amanzi amanzi rt nike dc udoti
horrible rapper  tyga  most trash rapper ever she want a yellow nigga corn on the cob i smacked my mom when i heard him,1,Race,rapper horrible tyga most trash rapper owake wafuna umbila ophuzi we nigga ekhweni ngabhebha umama wami lapho ngimuzwa
@user this week staed off kinda lame but it's getting better! #yay   #wednesdaywisdom,0,None,@umsebenzisi kuleli sonto ukhubazekile kodwa kuba ngcono! #yebo #wednesdaywisdom
elect democratic nominee charlie hardy  to us senate wy defeat tea mike enzi tntweeters cir,0,None,oqokwe ngokwentando yeningi u-charlie hardy kithi senate ngokunqoba itiye u-mike enzi tntweeters cir
coon rt  ltfills coffee up halfwaygt ltuses  irish cremes to fill other halfgt,0,None,I-coon rt igcwalisa ikhofi phezulu i-halfwaygt ltuses cremes yase-Ireland ukugcwalisa enye i-halfgt
does #magnettherapy really work?   #altwaystoheal #healing #healthy   !!,0,None,ingabe #magnettherapy iyasebenza ngempela? #altwaystoheal #healthy #healthy !!
if someone is part of james x then hes a white trash cultist,1,Race,uma umuntu eyingxenye ka-james x kusho ukuthi ungumkhulekeli kadoti omhlophe
you can always gets da colored folk back in da cage wit da kfc,1,Race,ungakwazi njalo ukubuyisela amaKhaladi ku-da cage wit da kfc
vinitahegwood can get a job at the naacp or as the ag i hear they like diversity and tolerance as long as you aint a cracker tcot,1,Race,i-vinitahegwood ingathola umsebenzi e-naacp noma njengoba i-ag engizwa ukuthi ithanda ukuhlukahluka nokubekezelelana inqobo nje uma ungeyena i-cracker tcot
god is a yankees fan farewellcaptain,0,None,unkulunkulu ungumlandeli we-yankees farewellcaptain
Theres nothing they can do about it&but Romanians are just not clever,1,Ethnicity,Akukho abangakwenza ngakho&amp;kodwa amaRomania awahlakaniphile
like some of the worst lyrics they post are beautiful but just because they dont know what theyre talking about its trash,0,None,njengamanye amagama amabi kakhulu abawathumelayo mahle kodwa ngenxa yokuthi abazi ukuthi bakhuluma ngani ngodoti wayo
i miss tupac rap offs hillbilly,0,None,ngikhumbula i-tupac rap offs hillbilly
#radio1 i'm going to #coldplay tonight   oh yes.,0,None,#radio1 ngizodlala #coldplay tonight oh yes.
just  days until yankees pitchers and catchers report,0,None,izinsuku ezimbalwa kuze kube yilapho ama-yankees pitchers kanye nababambayo bebika
get this monkey off my back,0,None,susa le nkawu emhlane wami
rt  lmfao rt  if you watching porn amp beating off amp yo homie text u amp it show his name in the banner youre a faggot,1,Sexual Orientation,rt lmfao rt uma ubukele izithombe zocansi ezishaywayo amp yo homie bhala u-amp kukhombisa igama lakhe kusibhengezo uyifagot
@user @user welcome here !  i'm   it's so #gr8 !,0,None,@umsebenzisi @umsebenzisi wamukelekile lapha! nginjalo #gr8 !
i be wishin you was local i takes you to da yankee game and spoil you,0,None,i be wishin you was local ngikuyise da yankee game and spoil you
move out of our country teabaggers,1,Race,phumani ezweni lethu izigebengu zetiye
dis nicca lame,0,None,ama-nicca blades
inb you unfunny nigger kill yourself,1,Race,inb you unfunny nigger zibulale
drawing myself an organic powdered goats milk bath with rose petals and chopped clams eww what just kidding its mr bubbl,0,None,ngizidwebela ubisi lwezimbuzi oluyimpushana ngigeza ngama rose petals kanye nezimbaza eziqotshiwe eww what just playing its Mr bubbl
the yankees dont need tanaka or beltran or all these big name players believe,0,None,ama-yankees awadingi u-tanaka noma i-beltran noma bonke laba badlali abanegama elikhulu bayakholwa
the reason shelby hates sandwiches is because he is a queer,1,Sexual Orientation,isizathu esenza ukuthi u-shelby azonde amasemishi yingoba uyindlovukazi
mperez       i bet shes a new york yankee prog,0,None,mperez ngabhejwa i new york yankee prog
shut up chink,1,Race,thula chink
disgusting people on the internet go fuck yourself,1,Behavior,abantu abanyanyekayo ku-inthanethi hamba uzifake wena
im going to dress up as trash for halloween oh wait i look like that everyday,0,None,ngizogqoka njengodoti we-halloween oh linda ngibukeke kanjalo nsuku zonke
i had froyo with brownies for dinner tonight being an adult is making these executive decisions,0,None,I had froyo with brownies for dinner tonight ekubeni umuntu omdala wenza lezi zinqumo eziphezulu
you aint special niglet rt  when im chilling wit greg ppl walk up to me to ask me to take picshatin,1,Race,awubalulekile u-niglet rt lapho ngiphola wit greg ppl khuphuka uze kimi ungicele ukuthi ngithathe i-picshatin
when your having a good weekend and it shows :) #thankful #blessed   // #jeffreycwilliams ðâ¦,0,None,lapho uba nempelasonto enhle futhi kuyakhombisa :) #thankful #blessed // #jeffreycwilliams ðŸ&#39;Žâ€¦
typical hitchens type atheist and was watching a doc on how hollywood hates god ready to mock it,0,None,uhlobo olujwayelekile lwama-hitchens olungakholelwa kuNkulunkulu futhi wayebukele idokhumenti yokuthi i-hollywood imzonda kanjani unkulunkulu elungele ukuyihleka usulu
my anaconda dont my anaconda dont my anaconda dont  want  none  unless  you  got  bunz hun,0,None,inhlwathi yami ayifuni inhlwathi yami ngaphandle kokuthi uthole ibunz hun
Pakistanis are treacherous,1,Ethnicity,AmaPakistani anenkohliso
you a hoe if you crying because yo ass pregnant it was all smiles while you was riding that dick bitch,1,Gender,wena igeja uma ukhala ngoba imbongolo ikhulelwe kwavele kwamamatheka ngenkathi ugibele leya ngquza
turndowndre  lmao you stupid nigger,1,Race,turndowndre lmao wena siphukuphuku nigger
He's a poofter,1,Sexual Orientation,Uyimpumputhe
tee  at the end of the day they call yo dumb ass monkey pickananny hoe but u luv them white devils,1,Race,tee at the end of the day bakubiza ngo-yo dumb ass monkey pickananny hoe but u luv them white devil
yall is coons n uncle toms,1,Race,yall is coons n umalume toms
find one where be beat nathan moons head into the ice too ol andrew is straight trash as far as hockey,0,None,thola lapho kushaywa khona izinyanga u-nathan ubheke eqhweni kakhulu u-andrew ungudoti oqondile uze ufike kwi-hockey
raven symones hair be like im not colored im american,0,None,izinwele zegwababa symones zifana ne-im not colored im american
shut up birds its bed time,0,None,vala izinyoni isikhathi sayo sokulala
shit your ass and shabbat your moms pussy u jew bastard ur times coming heil hitler,1,Religion,shiya izimbongolo zakho bese ushabalalisa umama wakho i-bastard izikhathi zakho ziza heil hitler
js on my feet that song is trash too loll,0,None,js ezinyaweni zami leyo ngoma iwudoti kakhulu loll
how is that not a yellow on ronaldo for full on body bumping the ref,0,None,kanjani lokho akuphuzi ku-ronaldo ngokugcwala emzimbeni kuqhume u-ref
little fucking gook who smells like shit an than thinking theyre the motherfuckin boss the fuck,1,Race,igolo elincane elinuka ikaka kunokucabanga ukuthi yilo mphathi we-motherfuckin
back up faggot,1,Sexual Orientation,sekela i-fagot
dat damn dog eats betta den most colored folk do,0,None,dat damn dog idla betta den iningi labantu bebala
asian americans go to hell,1,Ethnicity,amaMelika ase-Asia aya esihogweni
trash,0,None,udoti
too prettynot to pretty jeezusmy redneck education is showing,0,None,pretty kakhulu ukuze pretty jeezusmy redneck imfundo iyaboniswa
your pathetic plan failed enjoy my phone you fucking monkey let me see your ass at benton park you wanna talk shit ill carve your face,1,Physical Appearance,icebo lakho elidabukisayo lehlulekile jabulela ifoni yami wena ofeba inkawu ake ngibone imbongolo yakho e-benton park ufuna ukukhuluma shit ill carve your face
i didnt forsake all other bitches for my wife to be getting fucked on by another nigga and you know she married you gotta die,1,Gender,angizange ngibalahle bonke abanye osisi ukuze umkami abhejwe enye inkunzimalanga futhi uyazi ukuthi washada kufanele ufe
i have to dress up tomorrow for mock interviews and i still dont know how to tie the tie,0,None,kuzomele ngigqoke kahle kusasa for inhlolokhono mbumbulu futhi angikazi ukuthi ngizobopha kanjani uthayi
this new avi trash or nah,0,None,lo doti omusha we-avi noma nah
thats not bias its an objective fact that philly fans are cunts,1,Race,lokho akukona ukuchema iqiniso lenhloso yokuthi abalandeli be-philly bangama-cunts
cowboy truth about any distance for all you love birds out there,0,None,Iqiniso le-cowboy nganoma yiliphi ibanga kubo bonke obathandayo izinyoni laphaya
#fathersday to all our the amazing fathers out there today.,0,None,#fathersday kubo bonke obaba bethu abahle abakhona namuhla.
Camel people are usually living in Edgware road,1,Ethnicity,Abantu bamakamela bavame ukuhlala ku-Edgware Road
do i literally eat asshole for a living is that what i actually do faggot you seem a little confused,1,Sexual Orientation,ingabe ngidla ngokoqobo i-asshole ukuze ngiziphilise ukuthi lokho engikwenzayo empeleni kubonakala sengathi udidekile
faux noise pundits dont like duck molester proslavery racist homophobic teabagger darling phil robertson either,1,Sexual Orientation,Izingcweti zomsindo womgunyathi azithandi umnukubezi wamadada ukugqilazwa ngokobuhlanga umuntu othanda abantu abathandana naye u-phil robertson
I want to rape every gay person,1,Sexual Orientation,Ngifuna ukudlwengula zonke izitabane
isis jihadis in australia shoot man in the face chanting isis will stay  tcot pjnet,0,None,Isis jihadis e-australia dubula indoda ebusweni icula isis izohlala tcot pjnet
niggah niggah niggah dont believe me just wacthh,1,Race,niggah niggah niggah ungangikholwa nje wacthh
space brownies,0,None,isikhala brownies
sad little dude..   #badday #coneofshame #cats #pissed #funny #laughs,0,None,sad little bad.. #badday #coneofshame #cats #pissed #funny # laughs
im camera shy dont talk on phones and love when it rainif youn kno the life you wouldnt understand,0,None,nginamahloni angikhulumi kumafoni futhi ngiyathanda uma lina uma wazi impilo ongeke uyiqonde
tommy voeckler keeps the yellow andy schleck does the break of the tour and contador is broken incredible day for tdf,0,None,u-tommy voeckler ugcina u-andy schleck ophuzi wenza ikhefu lokuvakasha futhi i-contador yephukile usuku olumangalisayo lwe-tdf
donttouchme  leeandrea thats ghetto,0,None,donttouchme leeandrea thats ghetto
crew neck ass nigguh,1,Race,crew intamo imbongolo nigguh
stuck up serious bitches are possibly the worst type of girls ever,1,Gender,ama-bitches aqinile kungenzeka ukuthi awuhlobo olubi kakhulu lwamantombazane
Asylum seekers are unwelcome,1,Race,Abafuna indawo yokukhosela abamukelekile
Hijab is anti British,1,Religion,I-Hijab iyi-anti British
mayonnaise colored benz i push miracle whips,0,None,mayonnaise colored benz ngiphusha iziswebhu zezimanga
i ignore birds,0,None,ngiziba izinyoni
times making weed brownies tonight goin slide me a batch relo,0,None,izikhathi zokwenza ama-brownies weed tonight goin slide me a batch relo
Arabs are dumb,1,Race,Ama-Arabhu ayizimungulu
eagles fuck around amp lose itll be kill the cracker at the sophi crib smfh,1,Race,izinkozi ziyabhebhana amp lose it&#39;ll be kill the cracker at the sophi crib smfh
i dont understand how its weak to give anything to jeter when the astros barely have any history with the yankees,0,None,Angiqondi ukuthi buthaka kanjani ukunikeza noma yini ku-jeter lapho i-astros ingenawo umlando nama-yankees
this guy is the biggest faggot omfg,1,Sexual Orientation,lo mfana uyi-fagot omfg enkulu
slightlyadjusted rt  alls niggers wanna do is fuck tweet and drink pineapple soda all day,1,Race,okulungiswe kancane i-rt alls niggers efuna ukuyenza i-fuck tweet futhi iphuze uphayinaphu soda usuku lonke
this girl comes into class with fried chicken and pulls hot sauce out of her purse i mean come on how ghetto amp stereotypi,1,Race,le ntombazane ingena ekilasini nenkukhu ethosiwe bese ikhipha isoso eshisayo esikhwameni sayo ngiqonde ukuthi i-ghetto amp stereotypi
s news  democrats and antisemitism  jewish group condemns vp joe bidens offensive reference to shylocks,0,None,Iqembu lezindaba zentando yeningi kanye ne-antisemitism jewish ligxeka i-vp u-joe bidens inkomba ecasulayo kuma-shylocks
dont talk about homecoming until you actually do it otherwise antinf people have a reason to mock the party,0,None,dont talk about homecoming until you actually do it otherwise abantu be-antinf banesizathu sokugcona iqembu
this nigglet,1,Race,le nigglet
wow the stupid nigger in lebron really came out there,1,Race,wow isiphukuphuku se-nigger e-lebron saphuma ngempela lapho
eevee   i just wanted brownies man,0,None,eevee bengifuna amabrownies nje ndoda
You can not attend University of Oxford as it is is only for upper class people,1,Class,Awukwazi ukuya eNyuvesi yase-Oxford njengoba ingeyabantu abasezingeni eliphezulu kuphela
must not realize how much wvu games mean to all of us hillbillies the  play  games a year sh,0,None,akumele uqaphele ukuthi imidlalo ye-wvu isho ukuthini kithi sonke singama-hillbill imidlalo yokudlala ngonyaka sh
yellow jackets at gas station trash cans are the worst,0,None,amajakhethi aphuzi emathini kadoti egalaji likaphethiloli yiwona amabi kakhulu
brandon phelps a hoe ass nigga and wen i see him ima smack him like da lil bitch he is,1,Gender,u-brandon phelps a hoe ass nigga futhi lapho ngimbona ngimshaya sengathi u-lil bitch ayiyo
just fuckin roasted this faggot,1,Sexual Orientation,I-fuckin nje yosa leli fagot
if train officers that are wearing body armor stand back to watch the smoke clear why does every gun ho wanna be,0,None,uma izikhulu zesitimela ezigqoke izivikelo zomzimba zibuyela emuva ukuze zibuke intuthu icacile kungani zonke izibhamu zifuna ukuba khona
all i see in every iftheygunnedmedown tweet dis be like da colored brady bunch,0,None,konke engikubonayo kuwo wonke ama-tweet uma kungidubule kufana neqembu le-brady elinemibala
new  jersey should be yellow with a green chevron stripe like charlie browns jersey,0,None,ijezi elisha kufanele libe phuzi nomugqa we-chevron oluhlaza njengejezi lika-charlie browns
attn  all brown university students the stop and frisk protesters will be systematically dispersed into random us ghettos good luck,0,None,attn zonke izitshudeni zasenyuvesi ezinsundu isitobhi kanye nababhikishi abasheshayo bazohlakazwa ngokuhlelekile kithina ma-ghettos sikufisela inhlanhla
Camel Crunchers are lazy af,1,Behavior,Ama-Camel Crunchers ayavilapha
i got a dyke wit a child as whse mgr and she jus hired another girlboy dis week,1,Sexual Orientation,ngathola i-dyke enengane njengoba whse mgr futhi waqasha enye i-girlboy dis week
nowplaying  bt feat tori amos  blue skies radio edit on thearrow,0,None,nowplaying bt feat tori amos blue skyes radio edit on thearrow
el negro,0,None,omnyama
conoc tus ojos negros y ahora si que no puedo vivir sin ellos,0,None,Ngangiwazi amehlo akho amnyama futhi manje ngeke ngikwazi ukuphila ngaphandle kwawo
answer my snapchat faggot butthurt,1,Sexual Orientation,phendula i-snapchat yami fagot butthurt
i dont think they believe in their communities ability to function wout whitey they choose to be hustled by big govt,0,None,angicabangi ukuthi bayakholelwa emandleni emiphakathi yabo yokusebenza wout whitey bakhetha ukugqugquzelwa uhulumeni omkhulu
thatgapeach amp alla my niggas hot boys  so dont bring no ice in this bitch,1,Gender,thatgapeach alla my niggas hot boys ngakho-ke ningalethi ice kulo nondindwa
Women are so oversensitive,1,Gender,Abesifazane bayazwela kakhulu
cookie if i had to pick a president of the uncle tom association i would pick larry elder,0,None,ikhukhi uma kufanele ngikhethe umongameli wenhlangano kamalume tom ngangizokhetha u-larry elder
stay warm  beanies sweaterweather bootyever,0,None,uhlale ufudumele ama-beanies sweaterweather bootyever
sassy ur not sassy white trash change ur username,1,Race,sassy ur not sassy white doti shintsha igama lakho lomsebenzisi
peopleday now being deported from warsaw ghetto packed into cattle cars for rail trip to treblinka death camp htt,0,None,i-peopleday manje idingiswa e-warsaw ghetto ipakishwe ezinqoleni zezinkomo ukuze ihambe ngololiwe eya ekamu lokufa lase-treblinka htt
done that spell check we know you meant fat liberal dyke feminist nazi bitches,1,Sexual Orientation,senze lokho kuhlola ukupela siyazi ukuthi ubuqonde ama-fat liberal dyke ama-nazi bitches
#blackpool   attack bull game 3d: do you really think that his head was empty around the city. each side is,0,None,#blackpool attack bull game 3d: ingabe ngempela ucabanga ukuthi ikhanda lakhe lalingenalutho nxazonke zedolobha. uhlangothi ngalunye
i dont fuck with these hoes amp i dont fuck with niggas thats fuckin these hoes,1,Gender,angibheki ngalamageja amp angibheki nge niggas thats fuckin these hoes
oh well hes a fag anyways,1,Sexual Orientation,"oh, uyisigebengu vele"
its so shady when you bitches talk to guys w girlfriends thats so disrespectful to do to another girl,1,Gender,its so shady when you bitches talk to guys w girlfriends that&#39;s so disspectful to do kwenye intombazane
aint no love in the ghetto,0,None,alukho uthando eghetto
youve been talking trash since we were  and,0,None,ukhuluma udoti kusukela sikhona futhi
lmao it bel ike that nowadays,0,None,Kuzoba njalo namuhla
this  yr old on masterchefjunior made my chicken look like trash,0,None,lonyaka ku-masterchefjunior wenze inkukhu yami ibukeke njengodoti
last name sinnerfirst name immalike ur pancakes in tha mornin he got u covered like aunt jemima,0,None,isibongo soniigama lokuqala i-imalike ama-pancake akho ngo-tha mornin wakumboza njengo-anti jemima
think its okay to take my property and break it fuck you bitch,1,Gender,cabanga ukuthi kulungile ukuthatha impahla yami uyigqekeze wena nondindwa
after  hours and almost  pages i want to slit my wrists but i guess ill just settle for sleep,0,None,ngemuva kwamahora futhi cishe amakhasi ngifuna ukusika izihlakala zami kodwa ngicabanga ukuthi ngizovele ngilale
which one of these names is more offensive kike wop kraut wetback jigaboo towelhead gook or redskin,1,Race,yiliphi kulawa magama elicasula kakhulu kike wop kraut wetback jigaboo towelhead gook noma redskin
Indians are so good at terrorism,1,Ethnicity,AmaNdiya anekhono lobuphekula
what be the peckin order white christian colored porto ricans  arab  jews i donts know i be axin,1,Race,ithini i-peckin order white christian colored porto ricans ama-arab juws angazi ukuthi ngi-axin
whoever made these brownies and cookies belongs in heaven,0,None,noma ubani owenza lezi brownies namakhukhi ungowasezulwini
rudy gay a faggot for not changing his last name once he got money,1,Sexual Orientation,u-rudy gay u-fagot ngokungashintshi isibongo sakhe uma esethole imali
better nig lol but if anything ill flip u the  or something im tryna get some more cash,1,Gender,kungcono nig lol kodwa uma kukhona okungakuphathi kahle noma okuthize ngizama ukuthola enye imali
donnas taxes are gonna go upmoulinyanlol,0,None,izintela ze-donnas zizokhuphuka
asian people are ugly,1,Ethnicity,abantu base-asiya babi
i need a cowboy killer and a cold one about now dtb probably too tired tho to get down,0,None,ngidinga umbulali wezinkomo kanye nobandayo mayelana manje dtb cishe ngikhathele kakhulu ukuthi ngingehle
the two ringless fags rt  barkley amp reggie were talking nonsense the entire game,0,None,the two ringless fags rt barkley amp reggie bebekhuluma umbhedo wonke umdlalo
i would love it if all mixed race people shot themselves,1,Race,ngingajabula uma bonke abantu bezinhlanga ezixubile bezidubula
My hood is full of Bomb-Builders,1,Ethnicity,I-hood yami igcwele i-Bomb-Builders
kyevents nov  thanksgiving dinner pm proof on main a day being preoccupied with a giant bird in your,0,None,kyevents nov isidlo sakusihlwa sokubonga pm ubufakazi bokuthi usuku lumatasatasa ngenyoni enkulu
when niggas ask me where the hoes at,1,Gender,lapho uNiggas engibuza ukuthi akuphi amageja
theres always onethey never realize they are the worst the unsolicited unaffiliated trash talker,0,None,kukhona abahlale bengaqapheli ukuthi bangabantu ababi kakhulu abakhuluma udoti abangaceliwe
"Your grades at school are very bad so you won't be able to join a university, which is typical of a chav!",1,Class,"Amabanga akho esikoleni mabi kakhulu ngakho-ke ngeke ukwazi ukujoyina inyuvesi, okuwuphawu lwe-chav!"
remember that fear is there to guide you not cripple you,0,None,khumbula ukuthi ukwesaba kukhona ukukuqondisa ungakukhubazi
udonis talking some big trash to lance lebron holds him back,0,None,udonis ekhuluma udoti omkhulu ku-lance lebron uyambamba
loves austin  webber such a boon for  hcota,0,None,uthanda u-austin webber isibusiso esinjalo se-hcota
legacy need some ice cream and oreos,0,None,Ifa lidinga u-ayisikhilimu nama-oreos
not taking franks advice and he ate the yellow snow,0,None,engathathi iseluleko sika-franks futhi wadla iqhwa eliphuzi
when people say coloured,0,None,lapho abantu bethi anombala
i need to chat with teeg  where dat nicca at lol,1,Gender,ngidinga ukuxoxa no-teeg lapho dat nicca at lol
vermontgirlsbelike my hick accent comes out when i get around my family vermontproblems,0,None,I-vermontgirlsbelike i-hick accent yami iphuma uma ngizungeza umndeni wami izinkinga ze-vermont
